iter	Passed	Remaining
0	2	2211
1	4	2098
2	6	2028
3	8	1992
4	10	2024
5	12	2018
6	14	2030
7	16	2030
8	18	2015
9	20	1999
10	22	1985
11	24	1987
12	26	1978
13	27	1967
14	30	1979
15	32	1970
16	33	1960
17	35	1954
18	37	1945
19	39	1937
20	41	1930
21	43	1939
22	45	1934
23	47	1930
24	49	1922
25	51	1916
26	53	1911
27	54	1906
28	56	1903
29	58	1900
30	60	1898
31	62	1895
32	64	1891
33	66	1887
34	68	1886
35	70	1895
36	72	1898
37	74	1894
38	76	1896
39	78	1891
40	80	1887
41	82	1885
42	84	1881
43	86	1877
44	88	1875
45	90	1874
46	92	1871
47	94	1867
48	96	1864
49	97	1860
50	99	1855
51	101	1852
52	103	1855
53	105	1852
54	107	1849
55	109	1847
56	111	1843
57	113	1840
58	115	1838
59	117	1839
60	119	1836
61	121	1833
62	123	1831
63	124	1827
64	126	1825
65	128	1821
66	130	1821
67	132	1821
68	134	1819
69	137	1820
70	138	1817
71	140	1815
72	142	1813
73	144	1811
74	146	1809
75	148	1807
76	150	1806
77	152	1804
78	154	1801
79	156	1801
80	158	1798
81	160	1796
82	162	1793
83	164	1794
84	166	1791
85	168	1789
86	170	1788
87	172	1786
88	174	1783
89	176	1781
90	178	1778
91	180	1777
92	181	1774
93	183	1773
94	185	1770
95	187	1768
96	189	1766
97	191	1763
98	193	1761
99	195	1760
100	197	1760
101	199	1758
102	201	1756
103	203	1754
104	205	1752
105	207	1749
106	209	1747
107	211	1744
108	213	1743
109	215	1740
110	217	1740
111	219	1737
112	220	1734
113	222	1732
114	224	1730
115	226	1728
116	228	1725
117	230	1723
118	232	1721
119	234	1719
120	236	1716
121	238	1714
122	240	1712
123	241	1709
124	244	1708
125	246	1706
126	247	1704
127	249	1702
128	251	1700
129	253	1697
130	255	1696
131	257	1695
132	259	1692
133	261	1691
134	263	1690
135	265	1687
136	267	1685
137	269	1683
138	271	1681
139	273	1679
140	275	1676
141	277	1675
142	279	1673
143	281	1670
144	282	1668
145	284	1666
146	286	1665
147	288	1663
148	291	1662
149	292	1659
150	294	1657
151	296	1655
152	298	1653
153	300	1651
154	302	1650
155	304	1648
156	306	1646
157	308	1644
158	310	1642
159	312	1640
160	314	1638
161	316	1637
162	318	1635
163	320	1633
164	322	1631
165	324	1629
166	326	1627
167	328	1624
168	330	1622
169	332	1621
170	334	1619
171	336	1617
172	338	1616
173	340	1614
174	341	1611
175	343	1610
176	345	1607
177	347	1605
178	349	1603
179	351	1602
180	353	1599
181	355	1597
182	357	1596
183	359	1594
184	361	1591
185	363	1590
186	365	1587
187	367	1585
188	369	1583
189	371	1582
190	373	1580
191	375	1578
192	377	1576
193	379	1574
194	381	1573
195	382	1570
196	384	1569
197	386	1567
198	388	1565
199	390	1563
200	392	1561
201	394	1559
202	396	1557
203	398	1555
204	400	1553
205	402	1550
206	404	1549
207	406	1548
208	408	1545
209	410	1544
210	412	1542
211	414	1540
212	416	1538
213	418	1536
214	420	1533
215	421	1531
216	423	1529
217	426	1528
218	428	1527
219	430	1527
220	433	1526
221	435	1526
222	437	1525
223	440	1524
224	442	1523
225	444	1523
226	447	1522
227	449	1521
228	451	1520
229	453	1518
230	455	1515
231	457	1513
232	459	1512
233	461	1510
234	463	1507
235	465	1505
236	467	1503
237	468	1501
238	471	1500
239	473	1499
240	475	1497
241	477	1495
242	479	1493
243	481	1491
244	483	1488
245	485	1487
246	487	1485
247	489	1483
248	491	1481
249	493	1479
250	495	1477
251	497	1475
252	499	1473
253	500	1471
254	503	1469
255	505	1468
256	507	1466
257	509	1464
258	511	1462
259	512	1460
260	514	1458
261	516	1456
262	518	1454
263	520	1451
264	522	1449
265	525	1448
266	526	1446
267	528	1444
268	530	1442
269	532	1440
270	534	1438
271	536	1436
272	538	1433
273	540	1431
274	542	1429
275	544	1427
276	546	1425
277	548	1423
278	550	1421
279	552	1419
280	554	1417
281	555	1415
282	558	1414
283	560	1411
284	561	1409
285	564	1408
286	566	1406
287	567	1404
288	569	1402
289	571	1400
290	573	1398
291	575	1396
292	577	1394
293	579	1392
294	582	1390
295	583	1388
296	585	1386
297	587	1384
298	589	1382
299	591	1380
300	593	1378
301	595	1376
302	597	1375
303	599	1373
304	601	1371
305	603	1369
306	605	1367
307	607	1365
308	609	1363
309	611	1361
310	613	1359
311	615	1357
312	617	1355
313	619	1353
314	621	1351
315	623	1349
316	625	1347
317	627	1345
318	629	1343
319	631	1341
320	633	1339
321	635	1337
322	637	1335
323	639	1333
324	641	1331
325	642	1329
326	645	1327
327	647	1326
328	649	1324
329	651	1322
330	653	1320
331	655	1318
332	657	1316
333	659	1314
334	661	1312
335	663	1310
336	665	1308
337	667	1306
338	669	1304
339	670	1302
340	672	1300
341	674	1298
342	676	1296
343	678	1294
344	680	1292
345	682	1290
346	684	1288
347	686	1286
348	688	1284
349	690	1282
350	692	1280
351	694	1278
352	696	1276
353	698	1274
354	700	1272
355	702	1270
356	704	1268
357	706	1266
358	708	1264
359	710	1262
360	712	1260
361	713	1258
362	715	1256
363	717	1254
364	719	1252
365	721	1250
366	723	1248
367	725	1246
368	727	1244
369	729	1242
370	731	1240
371	733	1238
372	735	1236
373	737	1234
374	739	1232
375	741	1230
376	743	1228
377	745	1227
378	747	1225
379	749	1222
380	751	1220
381	753	1218
382	755	1216
383	757	1214
384	759	1213
385	761	1210
386	763	1209
387	765	1207
388	767	1205
389	769	1202
390	771	1200
391	772	1198
392	774	1196
393	776	1194
394	779	1193
395	781	1191
396	783	1189
397	784	1187
398	786	1185
399	788	1182
400	790	1180
401	792	1179
402	794	1177
403	796	1175
404	798	1173
405	800	1171
406	802	1169
407	804	1167
408	806	1165
409	808	1163
410	810	1161
411	812	1159
412	814	1157
413	816	1155
414	818	1153
415	820	1151
416	822	1149
417	824	1147
418	826	1145
419	827	1143
420	829	1141
421	831	1139
422	833	1137
423	835	1135
424	837	1133
425	839	1131
426	841	1129
427	843	1127
428	845	1125
429	847	1123
430	849	1121
431	851	1119
432	853	1117
433	855	1115
434	857	1113
435	859	1111
436	861	1109
437	863	1107
438	864	1105
439	866	1103
440	868	1101
441	870	1099
442	872	1097
443	874	1095
444	876	1093
445	878	1091
446	880	1089
447	882	1087
448	884	1085
449	886	1083
450	888	1081
451	890	1079
452	892	1077
453	894	1075
454	896	1073
455	898	1071
456	900	1069
457	902	1067
458	904	1065
459	906	1063
460	908	1061
461	910	1059
462	912	1057
463	914	1056
464	916	1054
465	918	1052
466	935	1067
467	937	1065
468	939	1064
469	942	1062
470	944	1060
471	946	1059
472	949	1057
473	951	1055
474	953	1053
475	955	1052
476	957	1050
477	960	1048
478	962	1046
479	964	1045
480	967	1043
481	969	1041
482	971	1040
483	974	1038
484	976	1036
485	978	1034
486	980	1033
487	983	1031
488	985	1029
489	987	1028
490	989	1026
491	992	1024
492	994	1022
493	997	1021
494	999	1019
495	1001	1017
496	1004	1016
497	1006	1014
498	1008	1012
499	1010	1010
500	1012	1008
501	1014	1006
502	1016	1004
503	1018	1002
504	1020	1000
505	1022	998
506	1024	996
507	1026	994
508	1028	992
509	1030	990
510	1032	987
511	1034	986
512	1036	983
513	1038	981
514	1040	979
515	1042	977
516	1044	975
517	1046	973
518	1048	971
519	1050	969
520	1052	967
521	1054	965
522	1055	963
523	1057	960
524	1059	958
525	1061	956
526	1063	954
527	1065	952
528	1067	950
529	1069	948
530	1071	946
531	1073	944
532	1075	942
533	1077	940
534	1079	938
535	1081	936
536	1083	934
537	1085	931
538	1087	929
539	1089	927
540	1091	925
541	1093	923
